dataset,act_hidden,act_init,seed,final_loss,final_acc,logfile
xor,POLY_CUBIC,ACT_INIT_DEFAULT,42,0.055657,1.0,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_poly_cubic_act_init_default_results_42.csv
xor,POLY_CUBIC,ACT_INIT_RANDOM_SMALL,42,0.181268,0.75,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_poly_cubic_act_init_random_small_results_42.csv
xor,POLY_CUBIC,ACT_INIT_NOISY,42,0.140444,0.75,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_poly_cubic_act_init_noisy_results_42.csv
xor,PRELU,ACT_INIT_DEFAULT,42,0.173794,0.75,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_prelu_act_init_default_results_42.csv
xor,PRELU,ACT_INIT_RANDOM_SMALL,42,0.160103,1.0,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_prelu_act_init_random_small_results_42.csv
xor,PRELU,ACT_INIT_NOISY,42,0.161728,1.0,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_prelu_act_init_noisy_results_42.csv
xor,SWISH,ACT_INIT_DEFAULT,42,0.221742,0.75,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_swish_act_init_default_results_42.csv
xor,SWISH,ACT_INIT_RANDOM_SMALL,42,0.24145,0.75,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_swish_act_init_random_small_results_42.csv
xor,SWISH,ACT_INIT_NOISY,42,0.240306,0.75,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_swish_act_init_noisy_results_42.csv
xor,PIECEWISE,ACT_INIT_DEFAULT,42,0.256975,0.75,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_piecewise_act_init_default_results_42.csv
xor,PIECEWISE,ACT_INIT_RANDOM_SMALL,42,0.16388,0.75,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_piecewise_act_init_random_small_results_42.csv
xor,PIECEWISE,ACT_INIT_NOISY,42,0.160206,0.75,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_piecewise_act_init_noisy_results_42.csv
xor,FIXED_RELU,ACT_INIT_DEFAULT,42,0.216328,0.5,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_fixed_relu_act_init_default_results_42.csv
xor,FIXED_RELU,ACT_INIT_RANDOM_SMALL,42,0.216328,0.5,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_fixed_relu_act_init_random_small_results_42.csv
xor,FIXED_RELU,ACT_INIT_NOISY,42,0.216328,0.5,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\xor_fixed_relu_act_init_noisy_results_42.csv
spirals,POLY_CUBIC,ACT_INIT_DEFAULT,42,0.174268,0.715,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_poly_cubic_act_init_default_results_42.csv
spirals,POLY_CUBIC,ACT_INIT_RANDOM_SMALL,42,0.060683,0.96,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_poly_cubic_act_init_random_small_results_42.csv
spirals,POLY_CUBIC,ACT_INIT_NOISY,42,0.055036,0.965,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_poly_cubic_act_init_noisy_results_42.csv
spirals,PRELU,ACT_INIT_DEFAULT,42,0.18828,0.6,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_prelu_act_init_default_results_42.csv
spirals,PRELU,ACT_INIT_RANDOM_SMALL,42,0.186254,0.61,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_prelu_act_init_random_small_results_42.csv
spirals,PRELU,ACT_INIT_NOISY,42,0.186279,0.61,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_prelu_act_init_noisy_results_42.csv
spirals,SWISH,ACT_INIT_DEFAULT,42,0.186021,0.575,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_swish_act_init_default_results_42.csv
spirals,SWISH,ACT_INIT_RANDOM_SMALL,42,0.185962,0.57,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_swish_act_init_random_small_results_42.csv
spirals,SWISH,ACT_INIT_NOISY,42,0.185962,0.57,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_swish_act_init_noisy_results_42.csv
spirals,PIECEWISE,ACT_INIT_DEFAULT,42,0.051068,0.96,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_piecewise_act_init_default_results_42.csv
spirals,PIECEWISE,ACT_INIT_RANDOM_SMALL,42,0.159073,0.755,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_piecewise_act_init_random_small_results_42.csv
spirals,PIECEWISE,ACT_INIT_NOISY,42,0.158608,0.755,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_piecewise_act_init_noisy_results_42.csv
spirals,FIXED_RELU,ACT_INIT_DEFAULT,42,0.193793,0.615,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_fixed_relu_act_init_default_results_42.csv
spirals,FIXED_RELU,ACT_INIT_RANDOM_SMALL,42,0.193793,0.615,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_fixed_relu_act_init_random_small_results_42.csv
spirals,FIXED_RELU,ACT_INIT_NOISY,42,0.193793,0.615,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_fixed_relu_act_init_noisy_results_42.csv
mnist,POLY_CUBIC,ACT_INIT_DEFAULT,42,1.464205,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_poly_cubic_act_init_default_results_42.csv
mnist,POLY_CUBIC,ACT_INIT_RANDOM_SMALL,42,1.464323,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_poly_cubic_act_init_random_small_results_42.csv
mnist,POLY_CUBIC,ACT_INIT_NOISY,42,1.464396,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_poly_cubic_act_init_noisy_results_42.csv
mnist,PRELU,ACT_INIT_DEFAULT,42,1.46569,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_prelu_act_init_default_results_42.csv
mnist,PRELU,ACT_INIT_RANDOM_SMALL,42,1.465616,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_prelu_act_init_random_small_results_42.csv
mnist,PRELU,ACT_INIT_NOISY,42,1.465369,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_prelu_act_init_noisy_results_42.csv
mnist,SWISH,ACT_INIT_DEFAULT,42,1.465114,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_swish_act_init_default_results_42.csv
mnist,SWISH,ACT_INIT_RANDOM_SMALL,42,1.465177,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_swish_act_init_random_small_results_42.csv
mnist,SWISH,ACT_INIT_NOISY,42,1.465169,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_swish_act_init_noisy_results_42.csv
mnist,PIECEWISE,ACT_INIT_DEFAULT,42,1.464946,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_piecewise_act_init_default_results_42.csv
mnist,PIECEWISE,ACT_INIT_RANDOM_SMALL,42,1.464295,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_piecewise_act_init_random_small_results_42.csv
mnist,PIECEWISE,ACT_INIT_NOISY,42,1.464315,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_piecewise_act_init_noisy_results_42.csv
mnist,FIXED_RELU,ACT_INIT_DEFAULT,42,1.463982,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_fixed_relu_act_init_default_results_42.csv
mnist,FIXED_RELU,ACT_INIT_RANDOM_SMALL,42,1.463982,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_fixed_relu_act_init_random_small_results_42.csv
mnist,FIXED_RELU,ACT_INIT_NOISY,42,1.463982,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_fixed_relu_act_init_noisy_results_42.csv
